Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 24, 2023",592,"388,024",,
"Feb 25, 2023",656,"397,995",,
"Feb 26, 2023",699,"406,700",,
"Feb 27, 2023",718,"417,424",,
"Mar 01, 2023",660,"419,693",,
"Mar 02, 2023",842,"343,386",,
"Mar 03, 2023","1,000","348,948",,
"Mar 04, 2023","1,114","352,542",,
"Mar 05, 2023","1,246","363,694",,
"Mar 06, 2023","1,369","366,236",,
"Mar 07, 2023","1,498","365,060",,
"Mar 08, 2023","1,613","367,371",,
"Mar 09, 2023","1,685","284,263",,
"Mar 10, 2023","1,783","285,245",,
"Mar 11, 2023","1,905","292,182",,
"Mar 12, 2023","2,013","294,423",,
"Mar 13, 2023","2,109","332,387",,
"Mar 14, 2023","2,215","339,761",,
"Mar 15, 2023","2,313","344,701",,
"Mar 16, 2023","2,401","347,440",,
"Mar 17, 2023","2,518","349,340",,
"Mar 18, 2023","2,658","346,374",,
"Mar 19, 2023","2,796","349,343",,
"Mar 20, 2023","2,893","350,411",,
"Mar 21, 2023","3,004","352,319",,
"Mar 22, 2023","3,123","355,215",,
"Mar 23, 2023","3,261","357,433",,
"Mar 24, 2023","3,441","360,718",,
"Mar 25, 2023","3,603","363,274",,
"Mar 26, 2023","3,628","366,552",,
"Mar 27, 2023","3,685","367,955",,
"Mar 28, 2023","3,711","367,999",,
"Mar 29, 2023","3,732","368,849",,
"Mar 30, 2023","3,769","368,561",,
"Mar 31, 2023","3,810","371,079",,
"Apr 01, 2023","3,855","372,136",,
"Apr 02, 2023","3,900","376,462",,
"Apr 03, 2023","3,936","377,914",,
"Apr 04, 2023","3,966","378,487",,
"Apr 05, 2023","3,984","377,726",,
"Apr 06, 2023","4,013","379,577",,
"Apr 07, 2023","4,036","381,444",,
"Apr 08, 2023","4,053","382,523",,
"Apr 09, 2023","4,070","383,443",,
"Apr 10, 2023","4,095","384,166",,
"Apr 11, 2023","4,123","384,933",,
"Apr 12, 2023","4,139","384,846",,
"Apr 13, 2023","4,158","391,189",,
"Apr 14, 2023","4,179","392,608",,
"Apr 15, 2023","4,195","390,075",,
"Apr 16, 2023","4,227","390,850",,
"Apr 17, 2023","4,259","392,136",,
"Apr 18, 2023","4,288","393,644",,
"Apr 19, 2023","4,329","395,254",,
"Apr 20, 2023","4,351","393,669",,
"Apr 21, 2023","4,386","397,507",,
"Apr 22, 2023","4,401","398,227",,
"Apr 23, 2023","4,411","397,545",,
"Apr 24, 2023","4,427","399,014",,
"Apr 25, 2023","4,453","400,201",,
"Apr 26, 2023","4,474","400,998",,
"Apr 27, 2023","4,501","402,220",,
"Apr 28, 2023","4,513","398,610",,
"Apr 29, 2023","4,529","403,957",,
"Apr 30, 2023","4,546","404,723",,
"May 01, 2023","4,562","406,538",,
"May 02, 2023","4,591","408,300",,
"May 03, 2023","4,612","383,677",,
"May 04, 2023","4,634","385,090",,
"May 05, 2023","4,648","384,888",,
"May 06, 2023","4,667","385,277",,
"May 07, 2023","4,681","386,727",,
"May 08, 2023","4,701","389,492",,
"May 09, 2023","4,733","391,874",,
"May 10, 2023","4,749","393,029",,
"May 11, 2023","4,770","394,128",,
"May 12, 2023","4,784","395,114",,
"May 13, 2023","4,811","395,955",,
"May 14, 2023","4,835","397,382",,
"May 15, 2023","4,852","414,161",,
"May 16, 2023","4,859","413,842",,
"May 17, 2023","4,873","414,442",,
"May 18, 2023","4,888","415,039",,
"May 19, 2023","4,904","415,954",,
"May 20, 2023","4,913","416,476",,
"May 21, 2023","4,932","417,198",,
"May 22, 2023","4,938","418,214",,
"May 23, 2023","4,952","418,695",,
"May 24, 2023","4,966","419,499",,
"May 25, 2023","4,974","419,909",,
"May 26, 2023","4,994","420,688",,
"May 27, 2023","5,005","421,404",,
"May 28, 2023","5,022","421,478",,
"May 29, 2023","5,047","424,854",,
Invalid date,,,,